Year,Zip Code,Age-Adjusted Rate,95% LCL,95% UCL
2019,94588,0,0,19.187
2019,94601,1.673,0.042,16.452
2019,94602,0,0,17.415
2019,94603,4.124,0.104,29.684
2019,94605,4.787,0.575,19.47
2019,94606,10.551,2.764,31.085
2019,94607,4.428,0.112,34.141
2019,94608,0,0,36.147
2019,94609,0,0,43.354
2019,94610,9.167,0.232,51.074
2019,94611,0,0,23.137
2019,94612,0,0,128.735
2019,94613,0,0,0
2019,94618,5.578,0.141,54.858
2019,94619,0,0,21.959
2019,94621,12.572,2.575,44.462
2019,94702,0,0,44.975
2019,94703,6.985,0.177,43.389
2019,94704,0,0,245.064
2019,94705,0,0,66.413
2019,94706,0,0,35.897
2019,94707,0,0,0
2019,94708,0,0,70.245
2019,94709,0,0,225.877
2019,94710,0,0,196.583
2019,94720,0,0,0
2019,95391,0,0,0
2018,94501,2.188,0.257,13.197
2018,94502,0,0,0
2018,94514,0,0,0
2018,94536,2.021,0.051,11.427
2018,94538,0,0,8.375
2018,94539,3.495,0.088,19.474
2018,94541,1.396,0.035,10.625
2018,94542,0,0,0
2018,94544,0.994,0.025,7.812
2018,94545,0,0,16.594
2018,94546,0,0,12.373
2018,94550,0,0,10.816
2018,94551,0,0,17.863
2018,94552,0,0,0
2018,94555,0,0,21.189
2018,94560,0,0,10.806
2018,94566,0,0,18.204
2018,94568,3.296,0.398,18.066
2018,94577,1.196,0.03,12
2018,94578,2.799,0.071,20.014
2018,94579,0,0,0
2018,94580,3.718,0.094,25.943
2018,94586,0,0,1486.916
2018,94587,0,0,7.338
2018,94588,0,0,19.136
2018,94601,4.607,0.944,20.468
2018,94602,0,0,17.456
2018,94603,4.249,0.108,30.773
2018,94605,4.708,0.565,19.309
2018,94606,1.718,0.044,17.884
2018,94607,7.567,0.915,37.895
2018,94608,4.257,0.459,40.265
2018,94609,7.474,0.883,51.601
2018,94610,0,0,33.893
2018,94611,0,0,23.19
2018,94612,0,0,128.928
2018,94613,0,0,0
2018,94618,9.303,0.236,62.736
2018,94619,0,0,21.992
2018,94621,2.287,0.058,30.53
2018,94702,3.389,0.086,48.446
2018,94703,0,0,31.545
2018,94704,19.795,0.501,264.16
2018,94705,6.399,0.162,73.643
2018,94706,3.334,0.084,40.443
2018,94707,0,0,59.352
2018,94708,0,0,0
2018,94709,0,0,0
2018,94710,0,0,0
2018,94720,0,0,0
2018,95391,0,0,314.178
2017,94501,0,0,10.334
2017,94502,0,0,0
2017,94514,0,0,0
2017,94536,1.916,0.049,10.988
2017,94538,0,0,9.016
2017,94539,0,0,0
2017,94541,1.449,0.037,11.613
2017,94542,0,0,59.593
2017,94544,3.345,0.405,12.654
2017,94545,2.3,0.058,19.336
2017,94546,0,0,12.268
2017,94550,2.339,0.059,14.298
2017,94551,0,0,19.134
2017,94552,0,0,41.706
2017,94555,0,0,22.013
2017,94560,1.862,0.047,13.98
2017,94566,0,0,17.797
2017,94568,0,0,14.937
2017,94577,1.452,0.037,12.292
2017,94578,4.491,0.542,23.38
2017,94579,0,0,0
2017,94580,0,0,20.962
2017,94586,0,0,0
2017,94587,0,0,7.339
2017,94588,2.137,0.054,20.771
2017,94601,0,0,16.71
2017,94602,4.256,0.108,24.842
2017,94603,2.745,0.07,28.559
2017,94605,1.461,0.037,13.591
2017,94606,0,0,15.451
2017,94607,2.955,0.075,31.285
2017,94608,1.618,0.041,36.626
2017,94609,1.745,0.044,44.813
2017,94610,0,0,33.029
2017,94611,2.248,0.057,25.144
2017,94612,0,0,126.807
2017,94613,0,0,0
2017,94618,0,0,0
2017,94619,0,0,0
2017,94621,0,0,31.417
2017,94702,5.779,0.146,51.457
2017,94703,0,0,30.741
2017,94704,0,0,238.343
2017,94705,0,0,0
2017,94706,0,0,39.455
2017,94707,0,0,0
2017,94708,0,0,68.612
2017,94709,0,0,226.389
2017,94710,0,0,212.322
2017,94720,0,0,0
2017,95391,0,0,0
2016,94501,1.178,0.03,11.258
2016,94502,0,0,41.965
2016,94514,0,0,0
2016,94536,2.091,0.253,10.173
2016,94538,0,0,9.361
2016,94539,0,0,0
2016,94541,1.375,0.035,12.001
2016,94542,0,0,70.676
2016,94544,1.664,0.042,10.004
2016,94545,0,0,16.044
2016,94546,0,0,12.536
2016,94550,2.341,0.059,13.899
2016,94551,0,0,19.524
2016,94552,0,0,0
2016,94555,2.161,0.055,24.8
2016,94560,1.777,0.045,13.513
2016,94566,0,0,16.18
2016,94568,0,0,18.605
2016,94577,0,0,11.783
2016,94578,0,0,20.44
2016,94579,0,0,27.73
2016,94580,3.552,0.09,25.85
2016,94586,0,0,0
2016,94587,0,0,7.187
2016,94588,0,0,0
2016,94601,3.959,0.479,21.458
2016,94602,3.688,0.093,25.695
2016,94603,7.906,1.629,33.928
2016,94605,3.961,0.453,17.228
2016,94606,4.335,0.518,20.896
2016,94607,2.476,0.063,29.555
2016,94608,0,0,34.16
2016,94609,4.76,0.121,59.887
2016,94610,1.666,0.042,32.75
2016,94611,3.097,0.078,25.535
2016,94612,6.876,0.174,123.502
2016,94613,0,0,0
2016,94618,0,0,49.184
2016,94619,2.483,0.063,27.136
2016,94621,9.232,1.764,43.91
2016,94702,0,0,0
2016,94703,6.119,0.155,39.875
2016,94704,0,0,0
2016,94705,0,0,67.954
2016,94706,0,0,0
2016,94707,0,0,62.955
2016,94708,14.791,0.374,88.814
2016,94709,0,0,0
2016,94710,0,0,228.764
2016,94720,0,0,0
2016,95391,9.73,0.246,407.95
2015,94501,0,0,8.974
2015,94502,0,0,48.123
2015,94514,0,0,0
2015,94536,0,0,6.999
2015,94538,1.664,0.042,11.634
2015,94539,0,0,13.846
2015,94541,1.477,0.037,11.761
2015,94542,6.643,0.168,79.155
2015,94544,0,0,7.587
2015,94545,2.502,0.063,20.846
2015,94546,8.674,2.164,26.291
2015,94550,0,0,10.131
2015,94551,2.966,0.075,24.218
2015,94552,0,0,43.031
2015,94555,0,0,25.626
2015,94560,1.612,0.041,13.704
2015,94566,0,0,14.373
2015,94568,3.478,0.421,22.986
2015,94577,3.621,0.438,15.798
2015,94578,4.759,0.576,25.711
2015,94579,0,0,24.089
2015,94580,3.31,0.084,22.916
2015,94586,0,0,0
2015,94587,0,0,6.993
2015,94588,7.232,0.661,33.056
2015,94601,3.903,0.461,20.393
2015,94602,3.721,0.094,24
2015,94603,11.632,2.339,40.053
2015,94605,4.099,0.477,17.792
2015,94606,7.04,1.425,24.979
2015,94607,7.655,1.51,33.551
2015,94608,4.136,0.105,37.075
2015,94609,0,0,49.025
2015,94610,0,0,33.53
2015,94611,5.305,1.007,27.41
2015,94612,0,0,120.671
2015,94613,0,0,0
2015,94618,0,0,0
2015,94619,4.615,0.117,30.519
2015,94621,6.729,0.815,35.621
2015,94702,5.796,0.147,48.989
2015,94703,0,0,31.659
2015,94704,0,0,239.931
2015,94705,0,0,67.908
2015,94706,0,0,0
2015,94707,0,0,63.008
2015,94708,3.439,0.087,74.307
2015,94709,0,0,0
2015,94710,11.64,0.295,204.05
2015,94720,0,0,0
2015,95391,12.431,0.315,163.936
2014,94501,1.313,0.033,10.52
2014,94502,0,0,0
2014,94514,0,0,0
2014,94536,1.425,0.036,9.415
2014,94538,0,0,9.175
2014,94539,0,0,13.217
2014,94541,9.426,3.4,23.445
2014,94542,0,0,65.392
2014,94544,1.056,0.027,9.503
2014,94545,3.78,0.096,24.41
2014,94546,0,0,12.735
2014,94550,0,0,9.815
2014,94551,0,0,0
2014,94552,0,0,0
2014,94555,0,0,25.394
2014,94560,2.8,0.071,16.511
2014,94566,2.208,0.056,17.758
2014,94568,0,0,23.789
